Dataset,Model,attack_type,Precision,Recall,F1,FPR,count
ctt_test03,Concat-Fusion,systematic-3,0.0,0.0,0.0,0.0,919
ctt_test03,Concat-Fusion,systematic-4,0.0,0.0,0.0,0.0,124
ctt_test03,Concat-Fusion,triple-3,1.0,0.30057803468208094,0.4622222222222222,0.0,173
ctt_test03,Concat-Fusion,triple-4,1.0,0.13043478260869565,0.23076923076923078,0.0,46
ctt_test03,Transformer,double-3,0.0,0.0,0.0,0.0,101
ctt_test03,Transformer,double-4,0.0,0.0,0.0,0.0,47
ctt_test03,Transformer,fuzzing-3,0.0,0.0,0.0,0.0,1360
ctt_test03,Transformer,fuzzing-4,0.0,0.0,0.0,0.0,38
ctt_test03,Transformer,interval-3,0.0,0.0,0.0,0.0,4291
ctt_test03,Transformer,interval-4,0.0,0.0,0.0,0.0,126
ctt_test03,Transformer,speed-3,1.0,0.36180904522613067,0.5313653136531366,0.0,199
ctt_test03,Transformer,speed-4,1.0,0.32941176470588235,0.49557522123893805,0.0,85
ctt_test03,Transformer,systematic-3,0.0,0.0,0.0,0.0,919
ctt_test03,Transformer,systematic-4,0.0,0.0,0.0,0.0,124
ctt_test03,Transformer,triple-3,0.0,0.0,0.0,0.0,173
ctt_test03,Transformer,triple-4,0.0,0.0,0.0,0.0,46
ctt_test04,CMF-CAN,double-3,1.0,1.0,1.0,0.0,178
ctt_test04,CMF-CAN,double-4,1.0,0.9411764705882353,0.9696969696969697,0.0,85
ctt_test04,CMF-CAN,fuzzing-3,1.0,1.0,1.0,0.0,196
ctt_test04,CMF-CAN,fuzzing-4,1.0,0.6305418719211823,0.7734138972809668,0.0,203
ctt_test04,CMF-CAN,interval-3,1.0,0.4672897196261682,0.6369426751592356,0.0,107
ctt_test04,CMF-CAN,interval-4,1.0,0.4230769230769231,0.5945945945945945,0.0,26
ctt_test04,CMF-CAN,speed-3,1.0,0.1792452830188679,0.30399999999999994,0.0,212
ctt_test04,CMF-CAN,speed-4,1.0,0.625,0.7692307692307693,0.0,64
ctt_test04,CMF-CAN,systematic-3,1.0,0.6779661016949152,0.8080808080808081,0.0,59
ctt_test04,CMF-CAN,systematic-4,1.0,0.8383838383838383,0.9120879120879121,0.0,198
ctt_test04,CMF-CAN,triple-3,1.0,1.0,1.0,0.0,63
ctt_test04,CMF-CAN,triple-4,1.0,1.0,1.0,0.0,114
ctt_test04,Concat-Fusion,double-3,1.0,1.0,1.0,0.0,178
ctt_test04,Concat-Fusion,double-4,1.0,1.0,1.0,0.0,85
ctt_test04,Concat-Fusion,fuzzing-3,1.0,1.0,1.0,0.0,196
ctt_test04,Concat-Fusion,fuzzing-4,1.0,0.896551724137931,0.9454545454545454,0.0,203
ctt_test04,Concat-Fusion,interval-3,1.0,0.8317757009345794,0.9081632653061225,0.0,107
ctt_test04,Concat-Fusion,interval-4,1.0,0.8846153846153846,0.9387755102040816,0.0,26
ctt_test04,Concat-Fusion,speed-3,1.0,0.7783018867924528,0.8753315649867375,0.0,212
ctt_test04,Concat-Fusion,speed-4,1.0,0.921875,0.959349593495935,0.0,64
ctt_test04,Concat-Fusion,systematic-3,1.0,0.9491525423728814,0.9739130434782608,0.0,59
ctt_test04,Concat-Fusion,systematic-4,1.0,0.8383838383838383,0.9120879120879121,0.0,198
ctt_test04,Concat-Fusion,triple-3,1.0,1.0,1.0,0.0,63
ctt_test04,Concat-Fusion,triple-4,1.0,1.0,1.0,0.0,114
ctt_test04,Transformer,double-3,1.0,1.0,1.0,0.0,178
ctt_test04,Transformer,double-4,1.0,1.0,1.0,0.0,85
ctt_test04,Transformer,fuzzing-3,1.0,0.9744897959183674,0.9870801033591732,0.0,196
ctt_test04,Transformer,fuzzing-4,1.0,1.0,1.0,0.0,203
ctt_test04,Transformer,interval-3,1.0,0.9906542056074766,0.9953051643192489,0.0,107
ctt_test04,Transformer,interval-4,1.0,1.0,1.0,0.0,26
ctt_test04,Transformer,speed-3,1.0,1.0,1.0,0.0,212
ctt_test04,Transformer,speed-4,1.0,1.0,1.0,0.0,64
ctt_test04,Transformer,systematic-3,1.0,1.0,1.0,0.0,59
ctt_test04,Transformer,systematic-4,1.0,0.8737373737373737,0.9326145552560646,0.0,198
ctt_test04,Transformer,triple-3,1.0,1.0,1.0,0.0,63
ctt_test04,Transformer,triple-4,1.0,1.0,1.0,0.0,114
road,CMF-CAN,fuzzing,1.0,0.07352941176470588,0.13698630136986303,0.0,68
road,CMF-CAN,malfunction,0.0,0.0,0.0,0.0,56
road,CMF-CAN,masquerade,1.0,0.9008264462809917,0.9478260869565218,0.0,484
road,CMF-CAN,spoof,1.0,0.631109022556391,0.77384039181792,0.0,2128
road,Concat-Fusion,fuzzing,1.0,0.5882352941176471,0.7407407407407407,0.0,68
road,Concat-Fusion,malfunction,0.0,0.0,0.0,0.0,56
road,Concat-Fusion,masquerade,1.0,0.8801652892561983,0.9362637362637362,0.0,484
road,Concat-Fusion,spoof,1.0,0.6179511278195489,0.7638687191402846,0.0,2128
road,Transformer,fuzzing,1.0,1.0,1.0,0.0,68
road,Transformer,malfunction,0.0,0.0,0.0,0.0,56
road,Transformer,masquerade,1.0,0.9256198347107438,0.9613733905579399,0.0,484
road,Transformer,spoof,1.0,0.6663533834586466,0.799774393683023,0.0,2128
